sex	gene_id
Female	PF3D7_0416700
Female	PF3D7_1033900
Female	PF3D7_1465300
Female	PF3D7_1315400
Female	PF3D7_1370300
Female	PF3D7_1434500
Female	PF3D7_0821600
Female	PF3D7_0322400
Female	PF3D7_1346200
Female	PF3D7_1316500
Female	PF3D7_1313000
Female	PF3D7_1106700
Female	PF3D7_1342700
Female	PF3D7_1022900
Female	PF3D7_1006600
Female	PF3D7_1402700
Female	PF3D7_1035200
Female	PF3D7_0501600
Female	PF3D7_0501300
Female	PF3D7_0723500
Female	PF3D7_1313700
Female	PF3D7_1119800
Female	PF3D7_0508000
Female	PF3D7_1366400
Female	PF3D7_1353200
Female	PF3D7_1031500
Female	PF3D7_0405100
Female	PF3D7_0906910
Female	PF3D7_0617100
Female	PF3D7_0629400
Female	PF3D7_0311600
Female	PF3D7_0211500
Female	PF3D7_0416400
Female	PF3D7_0405700
Female	PF3D7_0920000
Female	PF3D7_1412700
Female	PF3D7_0804800
Female	PF3D7_1115900
Female	PF3D7_1304900
Female	PF3D7_0904900
Female	PF3D7_1332600
Female	PF3D7_1455200
Female	PF3D7_0707400
Female	PF3D7_0922900
Female	PF3D7_0319700
Female	PF3D7_0302000
Female	PF3D7_0904100
Female	PF3D7_0825400
Female	PF3D7_1419400
Female	PF3D7_0519700
Female	PF3D7_1211200
Female	PF3D7_1352400
Female	PF3D7_0306500
Female	PF3D7_1234500
Female	PF3D7_1459600
Female	PF3D7_0111900
Female	PF3D7_0610500
Female	PF3D7_0726400
Female	PF3D7_0601900
Female	PF3D7_0611800
Female	PF3D7_0405600
Female	PF3D7_0303100
Female	PF3D7_0909000
Female	PF3D7_0618200
Female	PF3D7_0903600
Female	PF3D7_1407200
Female	PF3D7_1447400
Female	PF3D7_0203400
Female	PF3D7_1353700
Female	PF3D7_1032200
Female	PF3D7_1146800
Female	PF3D7_1326500
Female	PF3D7_0105800
Female	PF3D7_0522400
Female	PF3D7_0512900
Female	PF3D7_1226400
Female	PF3D7_1225200
Female	PF3D7_1312800
Female	PF3D7_0212400
Female	PF3D7_1339400
Female	PF3D7_1449800
Female	PF3D7_0305200
Female	PF3D7_0807600
Female	PF3D7_1349000
Female	PF3D7_0730400
Female	PF3D7_0721800
Female	PF3D7_0703900
Female	PF3D7_1133200
Female	PF3D7_1112300
Female	PF3D7_1463900
Female	PF3D7_1446500
Female	PF3D7_0513200
Female	PF3D7_1347900
Female	PF3D7_1423400
Female	PF3D7_0111400
Female	PF3D7_0520200
Female	PF3D7_0703000
Female	PF3D7_1462100
Female	PF3D7_0921200
Female	PF3D7_0318500
Female	PF3D7_1139800
Female	PF3D7_1447200
Female	PF3D7_1433400
Female	PF3D7_0305500
Female	PF3D7_0417400
Female	PF3D7_0617300
Female	PF3D7_0719900
Female	PF3D7_1108100
