gene_id	set_label	score
PF3D7_0933600	rest	12.04716747
PF3D7_0109900	rest	11.99344807
PF3D7_0801600	rest	11.99344807
PF3D7_1360000	rest	11.99344807
PF3D7_1432400	rest	11.99344807
PF3D7_1471200	rest	11.90961647
PF3D7_1340700	rest	11.90842605
PF3D7_0605600	gametocyte	11.88795494
PF3D7_1130700	rest	11.79686753
PF3D7_1216700	rest	11.79211726
PF3D7_0625700	rest	11.73452977
PF3D7_0115100	gametocyte	11.72243733
PF3D7_0805000	rest	11.72243733
PF3D7_1116900	rest	11.72243733
PF3D7_1412500	rest	11.6716397
PF3D7_0519200	rest	11.638572
PF3D7_0418100	rest	11.57841057
PF3D7_1034100	rest	11.57841057
PF3D7_1125200	rest	11.57841057
PF3D7_1143000	rest	11.57841057
PF3D7_1353600	rest	11.57841057
PF3D7_1417900	rest	11.57841057
PF3D7_1455000	rest	11.57841057
PF3D7_1417800	rest	11.57692105
PF3D7_0306400	rest	11.53152368
PF3D7_0417500	rest	11.50757752
PF3D7_1455200	rest	11.48248654
PF3D7_0812600	rest	11.43156918
PF3D7_0630300	rest	11.42663558
PF3D7_0317700	rest	11.40557397
PF3D7_1336400	rest	11.3950433
PF3D7_0718500	rest	11.3921003
PF3D7_1136900	rest	11.33845977
PF3D7_0315100	rest	11.29205774
PF3D7_1409800	rest	11.27437691
PF3D7_1024800	rest	11.26098102
PF3D7_1215000	rest	11.24515677
PF3D7_1245100	rest	11.22798324
PF3D7_1012500	rest	11.15865862
PF3D7_1334200	rest	11.15337205
PF3D7_1346600	rest	11.14956727
PF3D7_0928100	rest	11.08987783
PF3D7_1337500	rest	11.0596004
PF3D7_1402200	rest	11.02736144
PF3D7_1460400	rest	10.99063344
PF3D7_1478000	rest	10.99063344
PF3D7_0829200	rest	10.97647508
PF3D7_0216000	rest	10.96344543
PF3D7_1348700	rest	10.92251216
PF3D7_0710600	rest	10.91349003
PF3D7_0218000	rest	10.9126478
PF3D7_1329300	rest	10.90698092
PF3D7_1212800	rest	10.87712862
PF3D7_1358400	rest	10.84660668
PF3D7_1330000	rest	10.82321257
PF3D7_1110500	rest	10.76146219
PF3D7_1328800	rest	10.74833557
PF3D7_1107000	rest	10.73887524
PF3D7_1403800	rest	10.73452977
PF3D7_0816400	rest	10.73452977
PF3D7_1121800	gametocyte	10.73452977
PF3D7_1202200	rest	10.7219057
PF3D7_1122100	rest	10.64350559
PF3D7_1351600	rest	10.61452653
PF3D7_1435400	rest	10.59203385
PF3D7_1317100	rest	10.56639038
PF3D7_0505500	rest	10.53252693
PF3D7_1406700	rest	10.52205543
PF3D7_0723200	rest	10.51701002
PF3D7_0422000	rest	10.44239894
PF3D7_0319200	rest	10.43156918
PF3D7_0618600	rest	10.43156918
PF3D7_1015000	rest	10.43156918
PF3D7_1250700	rest	10.43156918
PF3D7_1310800	rest	10.43156918
PF3D7_1324600	rest	10.43156918
PF3D7_1327600	rest	10.43156918
PF3D7_1369700	rest	10.43156918
PF3D7_1211700	rest	10.4086053
PF3D7_1132800	rest	10.28157345
PF3D7_1435700	rest	10.2621883
PF3D7_0508400	rest	10.2316078
PF3D7_1442300	rest	10.20398758
PF3D7_1319900	rest	10.19922006
PF3D7_0602000	rest	10.15528375
PF3D7_1463200	rest	10.11428166
PF3D7_0828900	rest	10.08364587
PF3D7_1419300	rest	10.08101032
PF3D7_1303000	rest	10.07311521
PF3D7_1032800	rest	10.02953022
PF3D7_1462600	rest	9.959038035
PF3D7_1216300	rest	9.95447071
PF3D7_1222700	rest	9.914205829
PF3D7_1107600	rest	9.910985905
PF3D7_1113700	rest	9.898491773
PF3D7_0320800	rest	9.873273564
PF3D7_1333400	rest	9.86689949
PF3D7_1416400	rest	9.849956472
PF3D7_1315900	rest	9.800855632
PF3D7_0219100	gametocyte	9.771055644
PF3D7_0415600	rest	9.771055644
PF3D7_0109000	rest	9.759729226
PF3D7_1224500	rest	9.759035456
PF3D7_1108500	rest	9.752258163
PF3D7_1319400	rest	9.740897236
PF3D7_0204900	rest	9.722800475
PF3D7_1362300	rest	9.722800475
PF3D7_1425700	rest	9.722800475
PF3D7_1304500	rest	9.720509613
PF3D7_0111300	rest	9.671519971
PF3D7_1306600	rest	9.663111036
PF3D7_1308500	rest	9.643505594
PF3D7_1430100	rest	9.624214256
PF3D7_1104600	gametocyte	9.623498456
PF3D7_0422600	rest	9.620603002
PF3D7_0928900	rest	9.601494179
PF3D7_0406200	gametocyte	9.59497873
PF3D7_0319900	rest	9.59203385
PF3D7_1302100	gametocyte	9.590766479
PF3D7_0505000	rest	9.58768838
PF3D7_1226100	rest	9.578410566
PF3D7_1333300	rest	9.573116266
PF3D7_1360900	rest	9.524589403
PF3D7_1403900	rest	9.524589403
PF3D7_1222100	rest	9.523439121
PF3D7_1406800	rest	9.511163776
PF3D7_1355500	rest	9.491527574
PF3D7_1244600	rest	9.48904829
PF3D7_1456300	rest	9.400509237
PF3D7_1127100	rest	9.38183003
PF3D7_0605300	rest	9.324653974
PF3D7_1120600	rest	9.323596667
PF3D7_0804500	rest	9.308240884
PF3D7_0416800	rest	9.305929916
PF3D7_0205600	rest	9.256482471
PF3D7_0825400	rest	9.256482471
PF3D7_1026900	rest	9.256482471
PF3D7_1442000	rest	9.256482471
PF3D7_1452800	rest	9.256482471
PF3D7_0933200	rest	9.197084321
PF3D7_0526900	rest	9.176996351
PF3D7_1421100	rest	9.160558445
PF3D7_0910100	rest	9.158899688
PF3D7_1211400	rest	9.142431184
PF3D7_1232300	rest	9.114641764
PF3D7_0108800	rest	9.073115207
PF3D7_1467800	rest	9.056554836
PF3D7_0528700	rest	9.053057555
PF3D7_1328300	rest	9.04596813
PF3D7_0630600	rest	9.016531679
PF3D7_0905000	rest	9.004458846
PF3D7_0520600	rest	8.928705694
PF3D7_1320800	rest	8.918655179
PF3D7_0522800	rest	8.773629588
PF3D7_1021600	rest	8.761765249
PF3D7_0511700	rest	8.721172768
PF3D7_1005500	rest	8.701029853
PF3D7_1017400	rest	8.69690224
PF3D7_1234500	rest	8.6809803
PF3D7_0928000	rest	8.641517337
PF3D7_1025100	rest	8.624214256
PF3D7_1341900	rest	8.612376584
PF3D7_1355100	rest	8.573323535
PF3D7_1108200	rest	8.564604767
PF3D7_1408800	rest	8.563062602
PF3D7_1342400	rest	8.542103832
PF3D7_0619700	rest	8.497490571
PF3D7_1110200	rest	8.482849683
PF3D7_1002900	rest	8.468970846
PF3D7_1116200	rest	8.460118726
PF3D7_0422300	rest	8.393073949
PF3D7_1202300	rest	8.39176817
PF3D7_0215000	rest	8.357548993
PF3D7_1416900	rest	8.357548993
PF3D7_0912400	rest	8.34821575
PF3D7_0812100	rest	8.331262496
PF3D7_0920500	rest	8.31609196
PF3D7_1459700	rest	8.31609196
PF3D7_1108100	rest	8.30132147
PF3D7_0525900	gametocyte	8.293594033
PF3D7_1102600	rest	8.269486928
PF3D7_0922100	rest	8.256602204
PF3D7_0111000	rest	8.256416965
PF3D7_1357000	rest	8.244098747
