Gene ID	source_id	Previous ID(s)	
PF3D7_0520300	PF3D7_0520300.1	Previous IDs: MAL5P1.204;PFE1020w	
PF3D7_0520400	PF3D7_0520400.1	Previous IDs: MAL5P1.205;PFE1025c	
PF3D7_0520500	PF3D7_0520500.1	Previous IDs: MAL5P1.206;PFE1030c	
PF3D7_0520600	PF3D7_0520600.1	Previous IDs: MAL5P1.207;PFE1035c	
PF3D7_0520700	PF3D7_0520700.1	Previous IDs: MAL5P1.208;PFE1040c	
PF3D7_0520800	PF3D7_0520800.1	Previous IDs: MAL5P1.209;PFE1045c	
PF3D7_0520900	PF3D7_0520900.1	Previous IDs: MAL5P1.210;PFE1050w	
PF3D7_0521000	PF3D7_0521000.1	Previous IDs: MAL5P1.211;PFE1055c	
PF3D7_0521100	PF3D7_0521100.1	Previous IDs: MAL5P1.212;PFE1060c	
PF3D7_0521200	PF3D7_0521200.1	Previous IDs: MAL5P1.213;PFE1065w	
PF3D7_0521300	PF3D7_0521300.1	Previous IDs: MAL5P1.214;PFE1070c	
PF3D7_0521400	PF3D7_0521400.1	Previous IDs: MAL5P1.215;PFE1075c	
PF3D7_0521500	PF3D7_0521500.1	Previous IDs: MAL5P1.216;PFE1080w	
PF3D7_0521600	PF3D7_0521600.1	Previous IDs: PFE1082c	
PF3D7_0521700	PF3D7_0521700.1	Previous IDs: MAL5P1.217;PFE1085w	
PF3D7_0521800	PF3D7_0521800.1	Previous IDs: MAL5P1.218;PFE1090w	
PF3D7_0521900	PF3D7_0521900.1	Previous IDs: MAL5P1.219;PFE1095w	
PF3D7_0522000	PF3D7_0522000.1	Previous IDs: MAL5P1.220;PFE1100w	
PF3D7_0522100	PF3D7_0522100.1	Previous IDs: MAL5P1.221;PFE1105c	
PF3D7_0522200	PF3D7_0522200.1	Previous IDs: MAL5P1.222;PFE1110w	
PF3D7_0522300	PF3D7_0522300.1	Previous IDs: MAL5P1.223;PFE1115c	
PF3D7_0522400	PF3D7_0522400.1	Previous IDs: MAL5P1.224;PFE1120w	
PF3D7_0522500	PF3D7_0522500.1	Previous IDs: MAL5P1.225;PFE1125w	
PF3D7_0522600	PF3D7_0522600.1	Previous IDs: MAL5P1.226;PFE1130w	
PF3D7_0522700	PF3D7_0522700.1	Previous IDs: MAL5P1.227;PFE1135w	
PF3D7_0522800	PF3D7_0522800.1	Previous IDs: MAL5P1.228;PFE1140c	
PF3D7_0522900	PF3D7_0522900.1	Previous IDs: MAL5P1.229;PFE1145w	
PF3D7_0523000	PF3D7_0523000.1	Previous IDs: MAL5P1.230;PFE1150w	
PF3D7_0523100	PF3D7_0523100.1	Previous IDs: MAL5P1.231;PFE1155c	
PF3D7_0523200	PF3D7_0523200.1	Previous IDs: MAL5P1.232;PFE1160w	
PF3D7_0523300	PF3D7_0523300.1	Previous IDs: MAL5P1.233;PFE1165c	
PF3D7_0523400	PF3D7_0523400.1	Previous IDs: MAL5P1.234;PFE1170w	
PF3D7_0523500	PF3D7_0523500.1	Previous IDs: PFE1173c	
PF3D7_0523600	PF3D7_0523600.1	Previous IDs: MAL5P1.235;PFE1175w	
PF3D7_0523700	PF3D7_0523700.1	Previous IDs: MAL5P1.236;PFE1180c	
PF3D7_0523800	PF3D7_0523800.1	Previous IDs: MAL5P1.237;PFE1185w	
PF3D7_0523900	PF3D7_0523900.1	Previous IDs: MAL5P1.238;PFE1190c	
PF3D7_0524000	PF3D7_0524000.1	Previous IDs: MAL5P1.239;PFE1195w	
PF3D7_0524100	PF3D7_0524100.1	Previous IDs: MAL5P1.240;PFE1200w	
PF3D7_0524200	PF3D7_0524200.1	Previous IDs: MAL5P1.241;PFE1205c	
PF3D7_0524300	PF3D7_0524300.1	Previous IDs: MAL5P1.242;PFE1210c	
PF3D7_0524400	PF3D7_0524400.1	Previous IDs: MAL5P1.243;PFE1215c	
PF3D7_0524500	PF3D7_0524500.1	Previous IDs: MAL5P1.244;PFE1220w	
PF3D7_0524600	PF3D7_0524600.1	Previous IDs: MAL5P1.245;PFE1225w	
PF3D7_0524700	PF3D7_0524700.1	Previous IDs: MAL5P1.246;PFE1230c	
PF3D7_0524800	PF3D7_0524800.1	Previous IDs: MAL5P1.247;PFE1235c	
PF3D7_0524900	PF3D7_0524900.1	Previous IDs: MAL5P1.248;PFE1240w	
PF3D7_0525000	PF3D7_0525000.1	Previous IDs: MAL5P1.249;PFE1245w	
PF3D7_0525100	PF3D7_0525100.1	Previous IDs: MAL5P1.250;PFE1250w	
PF3D7_0525200	PF3D7_0525200.1	Previous IDs: MAL5P1.251;PFE1255w	
PF3D7_0525300	PF3D7_0525300.1	Previous IDs: MAL5P1.252;PFE1260c	
PF3D7_0525400	PF3D7_0525400.1	Previous IDs: MAL5P1.253;PFE1265w	
PF3D7_0525500	PF3D7_0525500.1	Previous IDs: MAL5P1.254;PFE1270c	
PF3D7_0525600	PF3D7_0525600.1	Previous IDs: MAL5P1.255;PFE1275c	
PF3D7_0525700	PF3D7_0525700.1	Previous IDs: MAL5P1.256;PFE1280w	
PF3D7_0525800	PF3D7_0525800.1	Previous IDs: MAL5P1.257;PFE1285w	
PF3D7_0525900	PF3D7_0525900.1	Previous IDs: MAL5P1.258;PFE1290w	
PF3D7_0526000	PF3D7_0526000.1	Previous IDs: MAL5P1.259;PFE1295c	
PF3D7_0526100	PF3D7_0526100.1	Previous IDs: MAL5P1.260;PFE1300w	
PF3D7_0526200	PF3D7_0526200.1	Previous IDs: MAL5P1.261;PF3D7_0526200.1;PF3D7_0526200.2;PFE1305c	
PF3D7_0526200	PF3D7_0526200.2	Previous IDs: MAL5P1.261;PF3D7_0526200.1;PF3D7_0526200.2;PFE1305c	
PF3D7_0526300	PF3D7_0526300.1	Previous IDs: MAL5P1.262;PFE1310c	
PF3D7_0526400	PF3D7_0526400.1	Previous IDs: MAL5P1.263;PFE1315w	
PF3D7_0526500	PF3D7_0526500.1	Previous IDs: MAL5P1.264;PFE1320w	
PF3D7_0526600	PF3D7_0526600.1	Previous IDs: MAL5P1.265;PFE1325w	
PF3D7_0526700	PF3D7_0526700.1	Previous IDs: MAL5P1.266;PFE1330c	
PF3D7_0526800	PF3D7_0526800.1	Previous IDs: MAL5P1.267;PFE1335c	
PF3D7_0526900	PF3D7_0526900.1	Previous IDs: MAL5P1.268;PFE1340w	
PF3D7_0527000	PF3D7_0527000.1	Previous IDs: MAL5P1.269;PFE1345c	
PF3D7_0527100	PF3D7_0527100.1	Previous IDs: MAL5P1.270;PFE1350c	
PF3D7_0527200	PF3D7_0527200.1	Previous IDs: MAL5P1.271;PFE1355c	
PF3D7_0527300	PF3D7_0527300.1	Previous IDs: MAL5P1.272;PFE1360c;PFE1363c	
PF3D7_0527400	PF3D7_0527400.1	Previous IDs: MAL5P1.273;PFE1365w	
PF3D7_0527500	PF3D7_0527500.1	Previous IDs: MAL5P1.274;PFE1370w	
PF3D7_0527600	PF3D7_0527600.1	Previous IDs: MAL5P1.275;PFE1375c	
PF3D7_0527700	PF3D7_0527700.1	Previous IDs: MAL5_tRNA_Glu1;MAL5_tRNA_Glu1:tRNA	
PF3D7_0527800	PF3D7_0527800.1	Previous IDs: MAL5_tRNA_Leu2;MAL5_tRNA_Leu2:tRNA	
PF3D7_0527900	PF3D7_0527900.1	Previous IDs: MAL5P1.276;PFE1390w	
PF3D7_0528000	PF3D7_0528000.1	Previous IDs: MAL5P1.277;PFE1395c	
PF3D7_0528100	PF3D7_0528100.1	Previous IDs: MAL5P1.278;PFE1400c	
PF3D7_0528200	PF3D7_0528200.1	Previous IDs: MAL5P1.279;PFE1405c	
PF3D7_0528300	PF3D7_0528300.1	Previous IDs: MAL5P1.280;PFE1410c	
PF3D7_0528400	PF3D7_0528400.1	Previous IDs: MAL5P1.281;PFE1415w	
PF3D7_0528500	PF3D7_0528500.1	Previous IDs: MAL5P1.282;PFE1420w	
PF3D7_0528600	PF3D7_0528600.1	Previous IDs: MAL5P1.283;PFE1425c	
PF3D7_0528700	PF3D7_0528700.1	Previous IDs: MAL5P1.284;PFE1430c	
PF3D7_0528800	PF3D7_0528800.1	Previous IDs: MAL5P1.285;PFE1435c	
PF3D7_0528900	PF3D7_0528900.1	Previous IDs: MAL5P1.286;PFE1440c	
PF3D7_0529000	PF3D7_0529000.1	Previous IDs: MAL5P1.287;PFE1445c	
PF3D7_0529100	PF3D7_0529100.1	Previous IDs: MAL5P1.288;PFE1450c	
PF3D7_0529200	PF3D7_0529200.1	Previous IDs: MAL5P1.289;PFE1455w	
PF3D7_0529300	PF3D7_0529300.1	Previous IDs: MAL5P1.290;PFE1460w	
PF3D7_0529400	PF3D7_0529400.1	Previous IDs: MAL5P1.291;PF3D7_0529400.1;PF3D7_0529400.2;PFE1465w	
PF3D7_0529400	PF3D7_0529400.2	Previous IDs: MAL5P1.291;PF3D7_0529400.1;PF3D7_0529400.2;PFE1465w	
PF3D7_0529500	PF3D7_0529500.1	Previous IDs: MAL5P1.292;PFE1470w	
PF3D7_0529600	PF3D7_0529600.1	Previous IDs: MAL5_tRNA_Arg1;MAL5_tRNA_Arg1:tRNA	
PF3D7_0529700	PF3D7_0529700.1	Previous IDs: MAL5P1.293;PFE1480c	
PF3D7_0529800	PF3D7_0529800.1	Previous IDs: MAL5P1.294;PFE1485w	
PF3D7_0529900	PF3D7_0529900.1	Previous IDs: MAL5P1.295;PFE1490c	
PF3D7_0530000	PF3D7_0530000.1	Previous IDs: MAL5P1.297;PFE1500c	
PF3D7_0530100	PF3D7_0530100.1	Previous IDs: MAL5P1.298;PFE1505w	
PF3D7_0530200	PF3D7_0530200.1	Previous IDs: MAL5P1.299;PFE1510c	
PF3D7_0530300	PF3D7_0530300.1	Previous IDs: MAL5P1.300;PFE1515w	
PF3D7_0530400	PF3D7_0530400.1	Previous IDs: MAL5P1.301;PFE1520c	
PF3D7_0530500	PF3D7_0530500.1	Previous IDs: MAL5P1.302;PFE1525w	
PF3D7_0530600	PF3D7_0530600.1	Previous IDs: MAL5P1.303;PFE1530c	
PF3D7_0530700	PF3D7_0530700.1	Previous IDs: MAL5P1.304;PFE1535w	
PF3D7_0530750	PF3D7_0530750.1	N/A	
PF3D7_0530800	PF3D7_0530800.1	Previous IDs: MAL5P1.305;PFE1540w	
PF3D7_0530900	PF3D7_0530900.1	Previous IDs: MAL5P1.306;PFE1545c	
PF3D7_0531000	PF3D7_0531000.1	Previous IDs: MAL5P1.307;PFE1550w	
PF3D7_0531100	PF3D7_0531100.1	Previous IDs: MAL5P1.308;PFE1555c	
PF3D7_0531200	PF3D7_0531200.1	Previous IDs: MAL5P1.309;PFE1560c	
PF3D7_0531300	PF3D7_0531300.1	Previous IDs: MAL5P1.310;PFE1565w	
PF3D7_0531400	PF3D7_0531400.1	Previous IDs: MAL5P1.311;PFE1570c	
PF3D7_0531500	PF3D7_0531500.1	Previous IDs: PF05TR005;PF05TR005:ncRNA	
PF3D7_0531600	PF3D7_0531600.1	Previous IDs: MAL5_18S;MAL5_18S:rRNA	
PF3D7_0531700	PF3D7_0531700.1	Previous IDs: MAL5_ITS1;MAL5_ITS1:rRNA	
PF3D7_0531800	PF3D7_0531800.1	Previous IDs: MAL5_5.8S;MAL5_5.8S:rRNA	
PF3D7_0531900	PF3D7_0531900.1	Previous IDs: MAL5_ITS2;MAL5_ITS2:rRNA	
PF3D7_0532000	PF3D7_0532000.1	Previous IDs: MAL5_28S;MAL5_28S:rRNA	
PF3D7_0532100	PF3D7_0532100.1	Previous IDs: MAL5P1.312;PFE1590w	
PF3D7_0532200	PF3D7_0532200.1	Previous IDs: MAL5P1.313;PFE1595c	
PF3D7_0532300	PF3D7_0532300.1	Previous IDs: MAL5P1.314;PFE1600w	
PF3D7_0532400	PF3D7_0532400.1	Previous IDs: MAL5P1.315;PFE1605w	
PF3D7_0532500	PF3D7_0532500.1	Previous IDs: MAL5P1.316;PFE1610w	
PF3D7_0532600	PF3D7_0532600.1	Previous IDs: MAL5P1.317;PFE1615c	
PF3D7_0532700	PF3D7_0532700.1	Previous IDs: MAL5P1.318;MAL5P1.319;PFE1620c;PFE1625c	
PF3D7_0532800	PF3D7_0532800.1	Previous IDs: PFE1627c	
PF3D7_0532900	PF3D7_0532900.1	Previous IDs: MAL5P1.320;PFE1630w	
PF3D7_0533000	PF3D7_0533000.1	Previous IDs: MAL5P1.321;PFE1635w	
PF3D7_0533100	PF3D7_0533100.1	Previous IDs: MAL5P1.322;PFE1640w	
PF3D7_0600100	PF3D7_0600100.1	Previous IDs: 2270.t00001;MAL6P1.317;PFF0005c	
PF3D7_0600200	PF3D7_0600200.1	Previous IDs: 2270.t00002;MAL6P1.316;PFF0010w	
PF3D7_0600300	PF3D7_0600300.1	Previous IDs: 2270.t00003;MAL6P1.315;PFF0015c	
PF3D7_0600400	PF3D7_0600400.1	Previous IDs: 2270.t00005;MAL6P1.314;PFF0020c	
PF3D7_0600500	PF3D7_0600500.1	Previous IDs: 2270.t00006;MAL6P1.313;PFF0025w	
PF3D7_0600600	PF3D7_0600600.1	Previous IDs: 2270.t00007;MAL6P1.312;PFF0030c	
PF3D7_0600700	PF3D7_0600700.1	Previous IDs: 2270.t00008;MAL6P1.311;PFF0035c	
PF3D7_0600800	PF3D7_0600800.1	Previous IDs: PFF0040c	
PF3D7_0600900	PF3D7_0600900.1	Previous IDs: PFF0045c	
PF3D7_0601000	PF3D7_0601000.1	Previous IDs: PFF0050c	
PF3D7_0601100	PF3D7_0601100.1	Previous IDs: PFF0055w	
PF3D7_0601200	PF3D7_0601200.1	Previous IDs: PFF0060w	
PF3D7_0601300	PF3D7_0601300.1	Previous IDs: PFF0065c	
PF3D7_0601400	PF3D7_0601400.1	Previous IDs: PFF0070w	
PF3D7_0601500	PF3D7_0601500.1	Previous IDs: 2270.t00299;MAL6P1.19;PFF0075c	
PF3D7_0601600	PF3D7_0601600.1	Previous IDs: 2270.t00298;MAL6P1.20;PFF0080c	
PF3D7_0601700	PF3D7_0601700.1	Previous IDs: 2270.t00297;MAL6P1.21;PFF0085w	
PF3D7_0601800	PF3D7_0601800.1	Previous IDs: PF3D7_06ncRNA1;PF3D7_06ncRNA1.1	
PF3D7_0601900	PF3D7_0601900.1	Previous IDs: 2270.t00296;MAL6P1.22;PFF0090w	
PF3D7_0602000	PF3D7_0602000.1	Previous IDs: 2270.t00295;MAL6P1.23;PFF0095c	
PF3D7_0602100	PF3D7_0602100.1	Previous IDs: 2270.t00294;MAL6P1.24;PFF0100w	
PF3D7_0602200	PF3D7_0602200.1	Previous IDs: 2270.t00293;MAL6P1.25;PFF0105w	
PF3D7_0602300	PF3D7_0602300.1	Previous IDs: 2270.t00292;MAL6P1.26;PFF0110w	
PF3D7_0602400	PF3D7_0602400.1	Previous IDs: 2270.t00291;MAL6P1.27;PFF0115c	
PF3D7_0602500	PF3D7_0602500.1	Previous IDs: 2270.t00290;MAL6P1.28;PFF0120w	
PF3D7_0602600	PF3D7_0602600.1	Previous IDs: 2270.t00289;MAL6P1.29;PFF0125c	
PF3D7_0602700	PF3D7_0602700.1	Previous IDs: 2270.t00288;MAL6P1.30;PFF0130c	
PF3D7_0602800	PF3D7_0602800.1	Previous IDs: 2270.t00287;MAL6P1.31;PFF0135w	
PF3D7_0602900	PF3D7_0602900.1	Previous IDs: 2270.t00286;MAL6P1.32;PFF0140c	
PF3D7_0603000	PF3D7_0603000.1	Previous IDs: 2270.t00285;MAL6P1.33;PFF0145w	
PF3D7_0603100	PF3D7_0603100.1	Previous IDs: 2270.t00284;MAL6P1.34;PFF0150c	
PF3D7_0603200	PF3D7_0603200.1	Previous IDs: 2270.t00283;MAL6P1.35;PFF0155w	
PF3D7_0603300	PF3D7_0603300.1	Previous IDs: 2270.t00282;MAL6P1.36;PFF0160c	
PF3D7_0603400	PF3D7_0603400.1	Previous IDs: 2270.t00281;MAL6P1.37;PFF0165c	
PF3D7_0603500	PF3D7_0603500.1	Previous IDs: 2270.t00280;MAL6P1.38;PFF0170w	
PF3D7_0603600	PF3D7_0603600.1	Previous IDs: 2270.t00333;MAL6P1.39;PFF0175c	
PF3D7_0603700	PF3D7_0603700.1	Previous IDs: 2270.t00278;MAL6P1.40;PFF0180w	
PF3D7_0603800	PF3D7_0603800.1	Previous IDs: 2270.t00275;2270.t00276;2270.t00277;MAL6P1.41;PFF0185c	
PF3D7_0603900	PF3D7_0603900.1	Previous IDs: 2270.t00274;MAL6P1.42;PFF0190c	
PF3D7_0604000	PF3D7_0604000.1	Previous IDs: 2270.t00273;MAL6P1.43;PFF0195c	
PF3D7_0604100	PF3D7_0604100.1	Previous IDs: 2270.t00272;MAL6P1.44;PFF0200c	
PF3D7_0604200	PF3D7_0604200.1	Previous IDs: 2270.t00271;MAL6P1.45;PFF0205w	
PF3D7_0604300	PF3D7_0604300.1	Previous IDs: 2270.t00270;MAL6P1.46;PFF0210w	
PF3D7_0604400	PF3D7_0604400.1	Previous IDs: 2270.t00334;MAL6P1.47;PFF0215w	
PF3D7_0604500	PF3D7_0604500.1	Previous IDs: 2270.t00268;MAL6P1.48;PFF0220w	
PF3D7_0604600	PF3D7_0604600.1	Previous IDs: 2270.t00267;MAL6P1.49;PFF0225w	
PF3D7_0604700	PF3D7_0604700.1	Previous IDs: 2270.t00335;MAL6P1.50;PFF0230c	
PF3D7_0604800	PF3D7_0604800.1	Previous IDs: 2270.t00336;MAL6P1.51;PFF0235c	
PF3D7_0604900	PF3D7_0604900.1	Previous IDs: 2270.t00337;MAL6P1.52;PFF0240c	
PF3D7_0605000	PF3D7_0605000.1	Previous IDs: 2270.t00263;MAL6P1.53;PFF0245w	
PF3D7_0605100	PF3D7_0605100.1	Previous IDs: 2270.t00262;MAL6P1.54;PFF0250w	
PF3D7_0605200	PF3D7_0605200.1	Previous IDs: 2270.t00338;MAL6P1.55;PFF0255c	
PF3D7_0605300	PF3D7_0605300.1	Previous IDs: 2270.t00261;MAL6P1.56;PFF0260w	
PF3D7_0605400	PF3D7_0605400.1	Previous IDs: 2270.t00339;MAL6P1.57;PFF0265c	
PF3D7_0605500	PF3D7_0605500.1	Previous IDs: 2270.t00260;MAL6P1.58;PFF0270c	
PF3D7_0605600	PF3D7_0605600.1	Previous IDs: 2270.t00440;MAL6P1.59;PFF0275c	
PF3D7_0605700	PF3D7_0605700.1	Previous IDs: 2270.t00258;MAL6P1.60;PFF0280w	
PF3D7_0605800	PF3D7_0605800.1	Previous IDs: 2270.t00257;MAL6P1.61;PFF0285c	
PF3D7_0605900	PF3D7_0605900.1	Previous IDs: 2270.t00256;MAL6P1.62;PFF0290w	
PF3D7_0606000	PF3D7_0606000.1	Previous IDs: 2270.t00255;MAL6P1.63;PFF0295c	
PF3D7_0606100	PF3D7_0606100.1	Previous IDs: 2270.t00254;MAL6P1.64;PFF0300w	
PF3D7_0606200	PF3D7_0606200.1	Previous IDs: 2270.t00252;MAL6P1.65;PFF0305c	
PF3D7_0606300	PF3D7_0606300.1	Previous IDs: 2270.t00441;MAL6P1.66;PFF0310w	
PF3D7_0606400	PF3D7_0606400.1	Previous IDs: 2270.t00442;MAL6P1.67;PFF0315c	
PF3D7_0606500	PF3D7_0606500.1	Previous IDs: 2270.t00251;MAL6P1.68;PFF0320c	
PF3D7_0606600	PF3D7_0606600.1	Previous IDs: 2270.t00250;MAL6P1.69;PFF0325c	
PF3D7_0606700	PF3D7_0606700.1	Previous IDs: 2270.t00249;MAL6P1.70;PFF0330w	
PF3D7_0606800	PF3D7_0606800.1	Previous IDs: 2270.t00248;MAL6P1.71;PFF0335c	
PF3D7_0606900	PF3D7_0606900.1	Previous IDs: 2270.t00247;MAL6P1.72;PFF0340c	
PF3D7_0607000	PF3D7_0607000.1	Previous IDs: 2270.t00246;MAL6P1.73;PFF0345w	
PF3D7_0607100	PF3D7_0607100.1	Previous IDs: 2270.t00245;MAL6P1.74;PFF0350w	
PF3D7_0607200	PF3D7_0607200.1	Previous IDs: 2270.t00242;MAL6P1.75;PFF0355c	
PF3D7_0607300	PF3D7_0607300.1	Previous IDs: 2270.t00241;MAL6P1.76;PFF0360w	
PF3D7_0607400	PF3D7_0607400.1	Previous IDs: 2270.t00240;MAL6P1.77;PFF0365c	
PF3D7_0607500	PF3D7_0607500.1	Previous IDs: 2270.t00239;MAL6P1.78;PFF0370w	
PF3D7_0607600	PF3D7_0607600.1	Previous IDs: 2270.t00237;MAL6P1.79;PFF0375c	
PF3D7_0607700	PF3D7_0607700.1	Previous IDs: 2270.t00236;MAL6P1.80;PFF0380w	
PF3D7_0607800	PF3D7_0607800.1	Previous IDs: 2270.t00235;MAL6P1.81;PFF0385c	
PF3D7_0607900	PF3D7_0607900.1	Previous IDs: 2270.t00234;MAL6P1.82;PFF0390w	
PF3D7_0608000	PF3D7_0608000.1	Previous IDs: 2270.t00233;MAL6P1.83;PFF0395c	
PF3D7_0608100	PF3D7_0608100.1	Previous IDs: 2270.t00231;MAL6P1.84;PFF0400w	
PF3D7_0608200	PF3D7_0608200.1	Previous IDs: 2270.t00443;MAL6P1.85;PFF0405c	
PF3D7_0608300	PF3D7_0608300.1	Previous IDs: 2270.t00230;MAL6P1.86;PFF0410w	
PF3D7_0608310	PF3D7_0608310.1	Previous IDs: 2270.t00230;MAL6P1.86;PFF0410w	
PF3D7_0608400	PF3D7_0608400.1	Previous IDs: 2270.t00229;MAL6P1.87;PFF0415c	
PF3D7_0608500	PF3D7_0608500.1	Previous IDs: 2270.t00228;MAL6P1.88;PFF0420c	
PF3D7_0608600	PF3D7_0608600.1	Previous IDs: 2270.t00227;MAL6P1.89;PFF0425w	
PF3D7_0608700	PF3D7_0608700.1	Previous IDs: 2270.t00226;MAL6P1.90;PFF0430w	
PF3D7_0608800	PF3D7_0608800.1	Previous IDs: 2270.t00225;MAL6P1.91;PFF0435w	
PF3D7_0608900	PF3D7_0608900.1	Previous IDs: 2270.t00224;MAL6P1.92;PFF0440w	
PF3D7_0609000	PF3D7_0609000.1	Previous IDs: 2270.t00223;MAL6P1.93;PFF0445w	
PF3D7_0609100	PF3D7_0609100.1	Previous IDs: 2270.t00222;MAL6P1.94;PFF0450c	
PF3D7_0609200	PF3D7_0609200.1	Previous IDs: 2270.t00221;MAL6P1.95;PFF0455w	
PF3D7_0609300	PF3D7_0609300.1	Previous IDs: 2270.t00220;MAL6P1.96;PFF0460w	
PF3D7_0609400	PF3D7_0609400.1	Previous IDs: 2270.t00219;MAL6P1.97;PFF0465c	
PF3D7_0609500	PF3D7_0609500.1	Previous IDs: MAL6P1.98;MAL6P1.98a;MAL6P198a;PFF0470w	
PF3D7_0609600	PF3D7_0609600.1	Previous IDs: 2270.t00218;MAL6P1.99;PFF0475w;PFF0480w	
PF3D7_0609700	PF3D7_0609700.1	Previous IDs: 2270.t00217;MAL6P1.100;PFF0480w	
PF3D7_0609800	PF3D7_0609800.1	Previous IDs: 2270.t00216;MAL6P1.101;PFF0485c	
PF3D7_0609900	PF3D7_0609900.1	Previous IDs: 2270.t00215;MAL6P1.102;PFF0490w	
PF3D7_0610000	PF3D7_0610000.1	Previous IDs: 2270.t00214;MAL6P1.103;PFF0495w	
PF3D7_0610100	PF3D7_0610100.1	Previous IDs: 2270.t00213;MAL6P1.104;PFF0500c	
PF3D7_0610200	PF3D7_0610200.1	Previous IDs: 2270.t00212;MAL6P1.105;PFF0505c	
PF3D7_0610300	PF3D7_0610300.1	Previous IDs: PF06TR003;PF06TR003:ncRNA	
PF3D7_0610400	PF3D7_0610400.1	Previous IDs: 2270.t00211;MAL6P1.106;PFF0510w	
PF3D7_0610500	PF3D7_0610500.1	Previous IDs: 2270.t00210;MAL6P1.107;PFF0515c	
PF3D7_0610600	PF3D7_0610600.1	Previous IDs: 2270.t00209;MAL6P1.108;PFF0520w	
PF3D7_0610700	PF3D7_0610700.1	Previous IDs: 2270.t00207;MAL6P1.109;PFF0525w	
PF3D7_0610800	PF3D7_0610800.1	Previous IDs: 2270.t00206;MAL6P1.110;PFF0530w	
PF3D7_0610900	PF3D7_0610900.1	Previous IDs: 2270.t00205;MAL6P1.111;PFF0535c	
PF3D7_0611000	PF3D7_0611000.1	Previous IDs: 2270.t00204;MAL6P1.112;PFF0540c	
PF3D7_0611100	PF3D7_0611100.1	Previous IDs: 2270.t00203;MAL6P1.113;PFF0545c	
PF3D7_0611200	PF3D7_0611200.1	Previous IDs: 2270.t00202;MAL6P1.114;PFF0550w	
PF3D7_0611300	PF3D7_0611300.1	Previous IDs: 2270.t00448;MAL6P1.115;PFF0555w	
PF3D7_0611400	PF3D7_0611400.1	Previous IDs: 2270.t00200;MAL6P1.116;PFF0560c	
PF3D7_0611500	PF3D7_0611500.1	Previous IDs: 2270.t00010;MAL6P1.309;PFF0565c	
PF3D7_0611600	PF3D7_0611600.1	Previous IDs: 2270.t00011;MAL6P1.308;PFF0570c	
PF3D7_0611700	PF3D7_0611700.1	Previous IDs: PFF0573c	
PF3D7_0611800	PF3D7_0611800.1	Previous IDs: 2270.t00012;MAL6P1.307;PFF0575c	
PF3D7_0611900	PF3D7_0611900.1	Previous IDs: 2270.t00013;MAL6P1.306;PFF0580w	
PF3D7_0612000	PF3D7_0612000.1	Previous IDs: 2270.t00014;MAL6P1.305;PFF0585c	
PF3D7_0612100	PF3D7_0612100.1	Previous IDs: 2270.t00015;MAL6P1.304;PFF0590c	
PF3D7_0612200	PF3D7_0612200.1	Previous IDs: 2270.t00016;MAL6P1.303;PFF0595c	
PF3D7_0612300	PF3D7_0612300.1	Previous IDs: 2270.t00017;MAL6P1.302;PFF0600w	
PF3D7_0612400	PF3D7_0612400.1	Previous IDs: 2270.t00017;MAL6P1.302;PFF0600w;PFF0602w	
PF3D7_0612500	PF3D7_0612500.1	Previous IDs: 2270.t00018;MAL6P1.301;PFF0605c	
PF3D7_0612600	PF3D7_0612600.1	Previous IDs: 2270.t00019;MAL6P1.300;PFF0610c	
PF3D7_0612700	PF3D7_0612700.1	Previous IDs: 2270.t00477;MAL6P1.299;PFF0615c;Pf12	
PF3D7_0612800	PF3D7_0612800.1	Previous IDs: 2270.t00020;MAL6P1.298;PFF0620c	
PF3D7_0612900	PF3D7_0612900.1	Previous IDs: 2270.t00021;MAL6P1.296;PFF0625w	
PF3D7_0613000	PF3D7_0613000.1	Previous IDs: 2270.t00022;MAL6P1.295;PF3D7_0613000.1;PF3D7_0613000.2;PF3D7_0613000.3;PFF0630c	
PF3D7_0613000	PF3D7_0613000.2	Previous IDs: 2270.t00022;MAL6P1.295;PF3D7_0613000.1;PF3D7_0613000.2;PF3D7_0613000.3;PFF0630c	
PF3D7_0613000	PF3D7_0613000.3	Previous IDs: 2270.t00022;MAL6P1.295;PF3D7_0613000.1;PF3D7_0613000.2;PF3D7_0613000.3;PFF0630c	
PF3D7_0613100	PF3D7_0613100.1	Previous IDs: 2270.t00474;MAL6P1.294;PFF0635w	
PF3D7_0613200	PF3D7_0613200.1	Previous IDs: 2270.t00473;MAL6P1.293;PFF0640w	
PF3D7_0613300	PF3D7_0613300.1	Previous IDs: 2270.t00023;MAL6P1.292;PFF0645c	
PF3D7_0613400	PF3D7_0613400.1	Previous IDs: 2270.t00024;MAL6P1.291;PFF0650w	
PF3D7_0613500	PF3D7_0613500.1	Previous IDs: 2270.t00025;MAL6P1.290;PFF0655c	
PF3D7_0613600	PF3D7_0613600.1	Previous IDs: 2270.t00026;MAL6P1.289;PFF0660w	
PF3D7_0613700	PF3D7_0613700.1	Previous IDs: 2270.t00027;MAL6P1.288;PFF0665c	
PF3D7_0613800	PF3D7_0613800.1	Previous IDs: 2270.t00028;MAL6P1.287;PFF0670w	
PF3D7_0613900	PF3D7_0613900.1	Previous IDs: 2270.t00030;MAL6P1.286;PFF0675c	
